	logFC	logCPM	PValue
2L52.1	-3.9	2.46	0.0959
aagr-3	-1.07	8.03	0.104
aak-1	0.711	7.11	0.434
aak-2	-0.997	6.55	0.396
aakb-1	-6.5	4.77	0.00663
aakb-2	-2.95	1.76	0.239
aakg-1	-3.28	2.83	0.204
aakg-2	-2.05	5.66	0.222
aakg-5	-0.325	8.82	0.506
aap-1	0.384	8.08	0.564
aars-1	4.82	6.03	0.00822
aars-2	0.151	8.38	0.823
aat-2	0.202	2.42	0.945
aat-3	-2.8	5.72	0.138
aat-9	-1.27	2.58	0.554
abce-1	-1.62	4.81	0.43
abcf-1	0.317	8.07	0.586
abcf-2	0.277	8.39	0.597
abcf-3	0.184	6.63	0.88
abi-1	0.479	8.7	0.368
abl-1	-0.405	6.12	0.782
abtm-1	1.58	5.69	0.329
abts-1	-0.145	8.23	0.799
abts-3	-5.29	3.63	0.0524
abts-4	-5.98	4.27	0.0323
acbp-1	0.64	4.63	0.727
acbp-5	0.936	7.02	0.347
acdh-10	0.971	7.69	0.248
acdh-11	0.73	5.98	0.603
acdh-12	-0.324	7.82	0.641
acdh-13	2.86	5.57	0.176
acdh-3	-0.125	8.43	0.81
acdh-7	-0.699	6.4	0.57
acdh-9	0.101	4.75	0.959
acin-1	0.569	7.91	0.4
acl-1	1.25	4.78	0.568
acl-11	1.55	5.85	0.327
acl-12	-2.45	5.05	0.237
acl-14	-0.0347	7.73	0.966
acl-2	2.94	6.63	0.076
acl-3	0.0534	7.52	0.945
acl-4	0.167	8.05	0.799
acl-5	0.104	5.24	0.962
acl-6	1.04	8.58	0.0799
acl-8	2.72	2.89	0.231
acl-9	-0.353	8.24	0.601
acn-1	-2.81	2.77	0.25
aco-1	-0.484	6.8	0.698
aco-2	0.427	7.32	0.681
acr-10	5.24	3.41	0.06
acr-11	5.09	3.29	0.0565
acr-8	1.29	1.67	0.57
acs-11	0.125	7.36	0.886
acs-13	0.836	9.37	0.101
acs-16	-3.19	1.92	0.2
acs-19	0.439	9.59	0.362
acs-2	0.531	4.29	0.829
acs-20	2.21	4.78	0.372
acs-21	3.98	3.78	0.12
acs-3	-4.88	3.26	0.0686
acs-4	0.81	9.03	0.112
act-1	-0.133	6.9	0.897
act-2	-0.0687	9.5	0.884
act-3	0.261	8.11	0.678
act-4	-0.507	7.06	0.597
acy-1	-6.3	4.58	0.0223
acy-4	-4.13	2.65	0.105
ada-2	0.332	8.26	0.575
adbp-1	0.122	6.06	0.929
add-2	-0.384	7.7	0.608
adm-2	-3.55	5.22	0.0842
adm-4	-0.734	6.65	0.529
adr-1	1.52	3.96	0.536
adr-2	-0.322	8.02	0.609
afd-1	-1.48	5.37	0.402
aff-1	6.13	4.22	0.0326
age-1	-0.43	8.38	0.467
agef-1	-1.5	6.75	0.171
agl-1	5.05	3.23	0.0683
ags-3	1.15	6.46	0.376
agt-1	0.00479	4.79	1
agt-2	-0.329	8.37	0.562
AH9.3	-0.314	5.92	0.831
aha-1	-0.45	6.61	0.698
ahcy-1	0.192	9.09	0.697
