	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2	
2L52.1	0	0	9.23	2.83	0	0	
2L52.2	0	0	0	0	0	0	
2RSSE.1	0	0	0	0.4	0	3.12	
2RSSE.3	0	0	0	0	0	0	
2RSSE.4	0	0	0	0	0	0	
2RSSE.5	0	0	0	0	0	0	
2RSSE.6	0	0	0	0	0	0	
2RSSE.7	0	0	0	0	0	0	
2RSSE.8	0	0	0	0	0	0	
3R5.2	0	0	0	0	0	0	
4R79.2	0	0	0	0	0	0	
6R55.2	0	0	0	0	0	0	
aagr-1	0	1.05	0	0	0	0	
aagr-2	0	0	0	0	0	0	
aagr-3	104.43	101.96	73.75	174.73	65.52	43.68	
aagr-4	9.12	0	0	1.29	0.8	0	
aak-1	25.03	65.84	51.54	47.11	67.18	85.25	
aak-2	77.12	40.22	68.48	58.42	22.02	38.01	
aakb-1	11.27	31.85	87.5	26.16	0	0	
aakb-2	0.92	0.92	0	8.94	0	0	
aakg-1	0.13	1.46	0	10.57	0	0.58	
aakg-2	61.67	24.82	58.36	36.62	2.79	19	
aakg-3	0	0	0	0	0	0	
aakg-4	0	0	0	0	0	0	
aakg-5	125.27	125.88	279.56	207.78	173.84	192.16	
aap-1	29.6	95.91	157.55	96.16	219.85	85.58	
aars-1	17.62	11.59	0	3.31	55.81	39.39	
aars-2	56.48	57.05	60.5	115.71	36.89	150.67	
aat-1	6.17	0	0	0	0	0	
aat-2	3.22	15.09	0	4.19	0	4.67	
aat-3	17.12	22.14	53.21	47.46	0	13.66	
aat-4	0	0	0	0	0	0	
aat-5	0	0	0	0	0	0	
aat-6	0	0	0	0	0	0	
aat-7	0	0	0	0	0	0	
aat-8	0	0	0	0	0	0	
aat-9	8.69	1.59	3.55	2.83	0	2.29	
abce-1	30.8	45.02	5.05	37.95	0.61	12.55	
abcf-1	183.69	199.8	118.09	110.03	114.86	153.34	
abcf-2	172.82	186.02	130.74	126.46	138.59	154.32	
abcf-3	62.4	76.69	64.59	11.94	41.85	40.22	
abch-1	0	0	0	0	0	0	
abcx-1	0	0	0	0	0	0	
abf-1	0	0	0	0	0	0	
abf-2	0	0	0	0	0	0	
abf-3	0	0	0	0	0	0	
abf-4	0	0	0	0	0	0	
abf-5	0	0	0	0	0	0	
abf-6	0	0	0	0	0	0	
abi-1	226.34	198.96	140.55	290.05	247.56	315.91	
abl-1	32.74	60.04	15.27	25.61	2.93	26.86	
abt-1	0	0	0	0	0	0	
abt-2	0	0	0	0	0	0	
abt-3	0	0	0	0	0	0	
abt-4	0	0	0	0	0	0	
abt-5	0	0	0	0	0	0	
abt-6	0	0	0	0	0	0	
abtm-1	81.57	22.06	3.94	15.83	15.4	41.44	
abts-1	93.03	101.27	64.9	100.56	56.09	85.03	
abts-2	0.82	1.76	0	0	0.16	0	
abts-3	0	0	0	13.36	0	0	
abts-4	15.94	44.11	0	26.1	0	0	
abu-1	0	0	0	0	0	0	
abu-10	0	0	0	0	0	0	
abu-11	0	0	0	0	0	0	
abu-2	0	0	0	0	0	0	
abu-3	0	0	0	0	0	0	
abu-4	0	0	0	0	0	0	
abu-5	0	0	0	0	0	0	
abu-6	0	0	0	0	0	0	
abu-7	0	0	0	0	0	0	
abu-8	0	0	0	0	0	0	
abu-9	0	0	0	0	0	0	
AC3.11	0	0	0	0	0	0	
AC3.12	0	0	0	0	0	0	
AC3.13	0	0	0	0	0	0	
AC3.14	0	0	0	0	0	0	
AC3.15	0	0	0	0	0	0	
AC3.16	0	0	0	0	0	0	
AC3.5	0	0	0	0	0	0	
AC3.9	0	0	0	0	0	0	
AC7.3	0	0	0	0	0	0	
AC8.10	0	0	0	0	0	0	
AC8.11	0	0	0	0	0	0	
AC8.12	0	0	0	0	0	0	
AC8.2	0	0	0	0	0	0	
AC8.3	0	0	0	0	0	0	
AC8.4	0	0	0	0	0	0	
AC8.5	0	0	0	0	0	0	
AC8.6	0	0	0	0	0	0	
AC8.7	0	0	0	0	0	0	
AC8.9	0	0	0	0	0	0	
acbp-1	89.77	165.12	42.39	42.58	72.42	51.71	
