	logFC	logCPM	PValue
aagr-1	-1.61	0.921	0.541
aagr-3	-0.719	7.86	0.187
aagr-4	-2.8	3.08	0.223
aak-1	0.945	7.09	0.247
aak-2	-0.777	6.48	0.463
aakb-1	-5.04	3.42	0.0238
aakg-1	-0.656	1.17	0.782
aakg-2	-1.79	5.54	0.259
aakg-5	0.735	8.4	0.093
aap-1	1.49	7.75	0.0353
aars-1	1.89	6.37	0.0888
aars-2	0.906	8.16	0.138
aat-1	-3.46	2.1	0.152
aat-2	-1.65	3.51	0.419
aat-3	-1.3	4.65	0.506
aat-9	-1.78	2.96	0.397
abce-1	-2.3	5.44	0.176
abcf-1	-0.324	8.46	0.462
abcf-2	-0.0999	8.64	0.815
abcf-3	-0.561	7.09	0.469
abi-1	0.595	8.72	0.164
abl-1	-1.45	6.89	0.173
abtm-1	-0.687	6.73	0.51
abts-1	-0.271	8.37	0.552
abts-2	-1.99	1.47	0.331
abts-4	-7.12	5.38	0.000563
acbp-1	-0.817	5.41	0.583
acbp-5	0.675	7.17	0.376
acdh-10	2.04	7.44	0.0121
acdh-11	0.2	6.26	0.864
acdh-12	0.0576	7.69	0.923
acdh-13	-0.76	6.9	0.518
acdh-3	1.11	7.98	0.0532
acdh-7	1.58	5.48	0.287
acdh-9	-0.683	5.22	0.665
ace-1	-3.97	2.5	0.0866
acin-1	0.743	7.89	0.194
acl-1	2.24	4.64	0.306
acl-11	-0.96	7.01	0.292
acl-12	-2.2	4.94	0.254
acl-14	-0.201	7.9	0.75
acl-2	0.322	7.34	0.672
acl-3	-0.188	7.7	0.744
acl-4	1.26	7.72	0.0481
acl-5	-0.117	5.44	0.947
acl-6	0.751	8.74	0.0744
acl-8	3.77	2.76	0.0824
acl-9	-0.355	8.33	0.558
aco-1	-0.387	6.82	0.67
aco-2	0.794	7.28	0.393
acr-10	6.04	3.44	0.0205
acr-11	1.2	3.73	0.591
acr-16	-6.35	4.64	0.006
acr-17	-3.89	2.44	0.113
acr-8	0.0485	1.99	1
acs-11	-0.12	7.57	0.867
acs-13	1.53	9.22	0.000241
acs-17	-4.02	2.54	0.0637
acs-19	0.881	9.49	0.0356
acs-2	1.17	4.08	0.606
acs-20	-0.399	5.8	0.823
acs-21	2.32	4.02	0.283
acs-4	0.368	9.28	0.417
act-1	-0.0891	6.93	0.917
act-2	0.636	9.24	0.115
act-3	-0.26	8.42	0.592
act-4	1.16	6.4	0.293
ada-2	0.876	8.1	0.0932
adbp-1	-0.327	6.34	0.765
add-2	0.277	7.41	0.682
adm-2	-3.11	4.92	0.111
adm-4	-1.56	7.3	0.0403
adpr-1	-3.84	2.4	0.0743
adr-1	6.24	3.62	0.0179
adr-2	0.496	7.7	0.409
aex-3	-2.31	1.31	0.338
afd-1	-0.948	5.04	0.562
aff-1	6.93	4.29	0.0105
age-1	1.18	7.73	0.0551
agef-1	-0.651	6.25	0.57
agl-1	5.85	3.25	0.0236
ags-3	1.33	6.44	0.231
agt-1	-0.964	5.37	0.529
agt-2	0.596	8	0.242
AH9.1	-0.879	1.74	0.722
AH9.3	-0.23	5.92	0.864
aha-1	0.453	6.21	0.699
ahcy-1	0.759	8.91	0.0751
aho-3	-0.0699	8.07	0.893
ain-1	-1.18	6.49	0.442
ain-2	-0.508	7.28	0.468
aip-1	1.09	5.6	0.472
aipl-1	0.58	8.37	0.194
air-1	-0.127	9.37	0.754
air-2	-0.159	7.51	0.798
ajm-1	1.2	4.99	0.561
aka-1	0.288	9.21	0.492
akt-1	-0.0518	9.12	0.898
akt-2	-2.33	4.27	0.329
aldo-1	8.05	5.4	0.00191
aldo-2	1.63	8.92	0.00011
alg-1	-0.701	5.22	0.712
alg-2	-0.162	7.57	0.805
alh-1	1.76	8.35	4e-04
alh-11	0.602	4.92	0.758
alh-13	3.96	3.46	0.0902
alh-3	0.26	4.4	0.909
alh-4	0.707	6.92	0.428
alh-6	-0.16	4.4	0.94
alh-7	-2	4.25	0.312
alh-8	0.813	6.66	0.462
alh-9	1.35	6.63	0.169
alp-1	-0.685	6.44	0.521
alx-1	0.657	7.27	0.358
aly-1	0.168	5.88	0.9
aly-2	0.785	8.17	0.117
aly-3	0.228	8.2	0.649
ama-1	-0.478	7.11	0.53
aman-2	-0.234	8.03	0.653
amph-1	0.323	5.74	0.831
amt-3	-2.53	1.45	0.282
amx-1	0.879	7.04	0.272
anc-1	-4.75	3.17	0.0631
ani-1	0.759	8.06	0.136
ani-2	1.12	8.85	0.0291
ani-3	1.11	7.92	0.0516
ant-1.1	0.83	10.6	0.0384
ant-1.3	-3.52	2.15	0.136
aos-1	-0.973	7.89	0.0761
apa-2	-0.352	6.63	0.812
apb-1	-0.472	6.69	0.631
apb-3	0.822	8.55	0.0659
apc-10	0.772	7.56	0.221
apc-11	-0.153	6.03	0.908
apc-16	-1.14	5.59	0.426
apc-2	0.358	7.61	0.548
apd-3	-0.656	7.02	0.502
ape-1	-0.226	8.59	0.637
apg-1	0.447	7.71	0.44
aph-1	-0.187	7.35	0.778
aph-2	-0.944	7.18	0.229
apm-1	1.66	4.39	0.44
apm-3	0.169	7.19	0.839
apn-1	-0.129	7.42	0.846
app-1	0.248	8.82	0.552
apr-1	0.72	8.61	0.157
aps-1	-3.28	5.9	0.0524
aps-2	-1.84	5.45	0.223
aps-3	-0.475	6.33	0.714
apx-1	-1.1	6.86	0.213
apy-1	-0.268	5.7	0.855
aqp-10	-3.01	5.58	0.0939
aqp-11	-2.28	4.14	0.213
aqp-12	-1.59	4.49	0.362
aqp-2	5.38	2.83	0.0329
arc-1	-4.08	3.55	0.0587
ard-1	-0.677	6.98	0.415
arf-1.2	-0.434	8.94	0.293
arf-3	0.246	8.71	0.582
arf-6	1.19	2.22	0.549
ari-1	-0.409	8.02	0.425
ark-1	-0.841	6.32	0.468
arl-1	-0.139	7.73	0.837
arl-5	-0.695	6.85	0.447
arl-8	-0.209	8.55	0.674
arp-1	0.488	7.32	0.489
arp-11	-0.255	6.83	0.782
arr-1	0.911	6	0.478
arrd-12	-3.15	1.87	0.18
arrd-13	2.36	6.47	0.0368
arrd-14	-2.21	1.25	0.361
arrd-18	-5.33	4.69	0.0141
arrd-19	2.34	5.72	0.118
arrd-2	-0.0296	5.41	0.986
arrd-22	-3.97	2.5	0.109
arrd-25	-1.75	4.95	0.321
arrd-7	-3.96	2.49	0.109
art-1	-0.366	7.86	0.496
arx-1	0.202	7.66	0.727
arx-2	0.859	8.85	0.0486
arx-3	0.278	7.46	0.66
arx-4	-0.701	7.25	0.324
arx-5	-0.175	5.49	0.909
arx-6	-0.732	6.44	0.486
arx-7	0.15	5.84	0.913
asb-1	-0.222	8.77	0.612
asb-2	0.0629	6.7	0.948
asc-1	1.52	6.25	0.21
asd-1	-0.277	7.04	0.727
asd-2	5.49	5.38	0.0236
asfl-1	0.689	7.67	0.251
asg-1	0.158	6.93	0.871
asg-2	-0.802	5.48	0.589
ash-2	0.181	7.49	0.778
asna-1	0.0551	7.42	0.932
asna-2	8.43	5.77	0.000827
aspm-1	-0.549	7.66	0.445
atad-3	-0.42	7.94	0.445
atf-6	-3.78	6.13	0.0212
atf-7	1.08	8.9	0.0141
atg-10	-3.89	2.98	0.0729
atg-11	0.269	6.67	0.787
atg-13	-0.223	7.99	0.655
atg-16.1	1.23	6.79	0.181
atg-16.2	0.579	7.83	0.289
atg-18	0.783	8.82	0.0634
atg-2	-0.0602	5.78	0.968
atg-3	0.896	6.74	0.368
atg-4.1	0.93	2.87	0.616
atg-4.2	-0.0123	6.46	0.996
atg-5	-0.0134	5.99	0.995
atg-7	1.34	7.56	0.0403
atgp-1	1.44	4.75	0.478
atgp-2	2.37	5.48	0.142
ath-1	-0.332	6.79	0.715
athp-1	0.668	5.76	0.628
atl-1	0.967	6.61	0.354
atm-1	0.292	5.85	0.842
atn-1	-4.59	3.02	0.0352
atp-2	0.512	10	0.2
atp-3	0.743	8.66	0.129
atp-4	-0.173	6.96	0.837
atp-5	0.0222	8.31	0.964
atx-2	1.16	7.84	0.0303
atx-3	-0.088	6.79	0.923
ave-1	-0.356	5.17	0.834
B0001.2	1.45	8.92	0.000602
B0001.3	0.835	5.73	0.579
B0001.4	0.217	7.25	0.766
B0001.5	1.03	6.64	0.325
B0001.6	0.334	6.89	0.702
B0001.7	0.441	7.84	0.432
B0001.8	-0.417	7.32	0.536
B0019.2	0.355	6.67	0.707
B0024.10	3.29	6.54	0.00373
B0024.11	0.109	8.07	0.823
B0024.13	-0.36	7.97	0.481
B0024.3	0.783	5.16	0.693
B0025.4	-0.628	6.57	0.548
B0035.1	-0.0706	8.12	0.895
B0035.11	0.676	8.3	0.149
B0035.12	0.839	8.33	0.0615
B0035.15	0.572	7.6	0.37
B0035.16	-2.05	5.23	0.26
B0035.18	-0.534	4.92	0.765
B0035.3	0.211	8.74	0.623
B0035.6	0.887	9.04	0.0306
B0041.3	-1.93	4.5	0.288
B0041.5	0.388	8.17	0.407
B0041.8	0.26	8.74	0.544
B0205.1	0.235	7.51	0.723
B0205.11	0.0935	7.26	0.902
B0205.12	-2.43	1.86	0.317
B0205.6	-1.53	6.26	0.228
B0205.8	0.133	5.65	0.927
B0205.9	0.0127	7.53	0.985
B0207.6	0.642	7.53	0.357
B0212.3	0.85	5.75	0.64
B0228.6	-1.24	4.87	0.591
B0228.7	-1.24	3.85	0.542
B0238.1	6.74	4.11	0.0122
B0238.10	1.31	7.36	0.0745
B0238.11	0.694	8.17	0.175
B0238.15	-2.8	3.05	0.235
B0238.9	0.596	8.02	0.233
B0244.9	-2.31	1.31	0.338
B0250.5	-1.18	6.21	0.317
B0261.1	2.36	7.89	3.82e-05
B0261.4	0.477	5.7	0.751
B0261.7	0.301	8.57	0.517
B0261.8	-3.12	4.02	0.141
B0272.3	0.274	7.09	0.729
B0273.3	-1.13	3.53	0.585
B0280.9	-0.451	7.88	0.391
B0281.5	-3.03	5.64	0.0885
B0285.3	0.13	6.67	0.903
B0285.4	-0.822	7.6	0.178
B0286.3	-3.88	2.43	0.117
B0303.14	-4.1	3.88	0.0621
B0303.15	-1.01	6.35	0.368
B0303.3	0.381	7.54	0.552
B0303.4	0.187	8.38	0.681
B0303.7	-0.208	6.48	0.891
B0304.2	0.108	6.88	0.904
B0304.4	0.8	6.24	0.516
B0310.2	0.0387	5.59	0.984
B0334.10	-1.42	2.65	0.462
B0334.13	-0.253	2.37	0.915
B0334.15	-1.91	3.94	0.37
B0334.17	-2.06	2.77	0.284
B0334.3	1.17	6.93	0.166
B0334.4	-0.41	8.49	0.372
B0334.5	1.95	7.4	0.00375
B0336.13	-0.75	7.07	0.346
B0336.3	-0.897	7.38	0.209
B0336.5	0.493	7.95	0.348
B0336.7	0.347	5.43	0.852
B0361.2	-0.55	7.07	0.481
B0361.3	0.483	7.91	0.476
B0361.4	-0.231	1.74	0.955
B0361.6	0.244	7.75	0.684
B0361.8	0.65	8.52	0.146
B0361.9	2.31	6.55	0.0427
B0365.1	0.566	6.15	0.647
B0391.8	-3.58	2.73	0.145
B0393.3	0.818	9.25	0.0527
B0393.5	-2.24	1.27	0.362
B0393.6	0.429	8.01	0.423
B0393.9	-5.8	4.12	0.0302
B0395.3	1.33	6.62	0.294
B0410.3	-4.86	3.26	0.059
