	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2
2L52.1	0	0	12.75	3.84	0	0
2L52.2	0	0	0	0	0	0
2RSSE.1	0	0	0	0.55	0	4.28
2RSSE.3	0	0	0	0	0	0
2RSSE.4	0	0	0	0	0	0
2RSSE.5	0	0	0	0	0	0
2RSSE.6	0	0	0	0	0	0
2RSSE.7	0	0	0	0	0	0
2RSSE.8	0	0	0	0	0	0
3R5.2	0	0	0	0	0	0
4R79.2	0	0	0	0	0	0
6R55.2	0	0	0	0	0	0
aagr-1	0	3.22	0	0	0	0
aagr-2	0	0	0	0	0	0
aagr-3	314.26	309.42	220.28	512.12	195.81	127.84
aagr-4	27.99	0	0	3.84	2.43	0
aak-1	55.41	146.95	113.23	101.55	147.67	183.5
aak-2	156.99	82.55	138.35	115.82	44.5	75.24
aakb-1	10.68	30.44	82.31	24.15	0	0
aakb-2	0.87	0.88	0	8.23	0	0
aakg-1	0.29	3.22	0	22.5	0	1.22
aakg-2	108.22	43.91	101.64	62.57	4.85	32.42
aakg-3	0	0	0	0	0	0
aakg-4	0	0	0	0	0	0
aakg-5	271.84	275.46	602.09	439.11	374.63	405.54
aap-1	57.43	187.64	303.36	181.68	423.58	161.48
aars-1	45.02	29.86	0	8.23	141.6	97.87
aars-2	212.68	216.62	226.07	424.29	137.96	551.73
aat-1	12.99	0	0	0	0	0
aat-2	6.06	28.69	0	7.68	0	8.56
aat-3	32.32	42.15	99.7	87.27	0	25.08
aat-4	0	0	0	0	0	0
aat-5	0	0	0	0	0	0
aat-6	0	0	0	0	0	0
aat-7	0	0	0	0	0	0
aat-8	0	0	0	0	0	0
aat-9	19.05	3.51	7.73	6.04	0	4.89
abce-1	61.76	91.04	10.05	74.1	1.21	24.47
abcf-1	404.58	443.79	258.15	236.02	251.23	328.47
abcf-2	428.25	464.86	321.53	305.18	341.05	371.9
abcf-3	156.12	193.5	160.38	29.09	103.97	97.87
abch-1	0	0	0	0	0	0
abcx-1	0	0	0	0	0	0
abf-1	0	0	0	0	0	0
abf-2	0	0	0	0	0	0
abf-3	0	0	0	0	0	0
abf-4	0	0	0	0	0	0
abf-5	0	0	0	0	0	0
abf-6	0	0	0	0	0	0
abi-1	384.38	340.74	236.89	479.73	417.51	521.76
abl-1	131.88	243.85	61.06	100.45	11.73	105.21
abt-1	0	0	0	0	0	0
abt-2	0	0	0	0	0	0
abt-3	0	0	0	0	0	0
abt-4	0	0	0	0	0	0
abt-5	0	0	0	0	0	0
abt-6	0	0	0	0	0	0
abtm-1	217.88	59.43	10.43	41.17	40.86	107.65
abts-1	372.26	408.66	257.76	391.91	222.92	330.92
abts-2	2.02	4.39	0	0	0.4	0
abts-3	0	0	0	45.56	0	0
abts-4	46.46	129.68	0	74.1	0	0
abu-1	0	0	0	0	0	0
abu-10	0	0	0	0	0	0
abu-11	0	0	0	0	0	0
abu-2	0	0	0	0	0	0
abu-3	0	0	0	0	0	0
abu-4	0	0	0	0	0	0
abu-5	0	0	0	0	0	0
abu-6	0	0	0	0	0	0
abu-7	0	0	0	0	0	0
abu-8	0	0	0	0	0	0
abu-9	0	0	0	0	0	0
AC3.11	0	0	0	0	0	0
AC3.12	0	0	0	0	0	0
AC3.13	0	0	0	0	0	0
AC3.14	0	0	0	0	0	0
AC3.15	0	0	0	0	0	0
AC3.16	0	0	0	0	0	0
AC3.5	0	0	0	0	0	0
AC3.9	0	0	0	0	0	0
AC7.3	0	0	0	0	0	0
AC8.10	0	0	0	0	0	0
AC8.11	0	0	0	0	0	0
AC8.12	0	0	0	0	0	0
AC8.2	0	0	0	0	0	0
AC8.3	0	0	0	0	0	0
AC8.4	0	0	0	0	0	0
AC8.5	0	0	0	0	0	0
AC8.6	0	0	0	0	0	0
AC8.7	0	0	0	0	0	0
AC8.9	0	0	0	0	0	0
acbp-1	40.4	74.94	18.94	18.66	32.37	22.63
acbp-3	0	0	0	0	0	0
acbp-4	0	1.46	0	0	0	3.67
acbp-5	88.59	150.47	51.78	130.64	196.21	129.06
acbp-6	0	0	0	0	0	0
