	logFC	logCPM	PValue
2L52.1	0	3.21	1
aagr-3	0	8.51	1
aak-1	0	6.75	1
aak-2	0	7	1
aakb-1	0	5.76	1
aakg-1	0	3.61	1
aakg-2	0	6.37	1
aakg-5	0	9.02	1
aap-1	0	7.92	1
aars-2	0	8.34	1
aat-3	0	6.56	1
abce-1	0	5.42	1
abcf-1	0	7.95	1
abcf-2	0	8.29	1
abcf-3	0	6.58	1
abi-1	0	8.48	1
abl-1	0	6.35	1
abtm-1	0	4.74	1
abts-1	0	8.34	1
abts-3	0	4.57	1
abts-4	0	5.24	1
acbp-1	0	4.3	1
acbp-5	0	6.52	1
acdh-10	0	7.17	1
acdh-11	0	5.61	1
acdh-12	0	8.01	1
acdh-13	0	3.61	1
acdh-3	0	8.53	1
acdh-7	0	6.74	1
acdh-9	0	4.72	1
acin-1	0	7.64	1
acl-1	0	4.07	1
acl-11	0	4.93	1
acl-12	0	5.82	1
acl-14	0	7.79	1
acl-2	0	4.58	1
acl-3	0	7.53	1
acl-4	0	8.01	1
acl-5	0	5.22	1
acl-6	0	8.01	1
acl-9	0	8.45	1
acn-1	0	3.46	1
aco-1	0	7.06	1
aco-2	0	7.14	1
acs-11	0	7.34	1
acs-13	0	8.93	1
acs-19	0	9.4	1
acs-2	0	4.02	1
acs-20	0	3.36	1
acs-3	0	4.17	1
acs-4	0	8.61	1
act-1	0	7.01	1
act-2	0	9.57	1
act-3	0	8.02	1
act-4	0	7.33	1
acy-1	0	5.55	1
acy-4	0	3.43	1
ada-2	0	8.13	1
adbp-1	0	6.04	1
add-2	0	7.92	1
adm-2	0	6.12	1
adm-4	0	7.01	1
adr-1	0	3.07	1
adr-2	0	8.21	1
afd-1	0	5.95	1
age-1	0	8.63	1
agef-1	0	7.35	1
ags-3	0	5.81	1
agt-1	0	4.8	1
agt-2	0	8.57	1
AH9.3	0	6.1	1
aha-1	0	6.85	1
ahcy-1	0	9.03	1
aho-3	0	8.14	1
ain-1	0	6.91	1
ain-2	0	7.2	1
aip-1	0	6.33	1
aipl-1	0	7.99	1
air-1	0	9.16	1
air-2	0	6.77	1
ajm-1	0	5.06	1
aka-1	0	9.22	1
akt-1	0	9.12	1
akt-2	0	3.36	1
aldo-2	0	9.56	1
alg-1	0	6.52	1
alg-2	0	7.37	1
alh-1	0	7.81	1
alh-11	0	2.75	1
alh-4	0	6.87	1
alh-6	0	4.58	1
alh-8	0	6.82	1
alh-9	0	6.7	1
alp-1	0	6	1
alx-1	0	7.04	1
aly-1	0	4.78	1
aly-2	0	8.5	1
aly-3	0	8.44	1
ama-1	0	7.33	1
aman-2	0	8.26	1
amph-1	0	5.22	1
amx-1	0	7.47	1
ani-1	0	8.67	1
ani-2	0	8.76	1
ani-3	0	7.99	1
ant-1.1	0	10.9	1
aos-1	0	7.76	1
apa-2	0	6.43	1
apb-1	0	6.89	1
apb-3	0	8.67	1
apc-10	0	7.58	1
apc-11	0	5.29	1
apc-16	0	4.35	1
apc-2	0	7.67	1
apd-3	0	6.81	1
ape-1	0	9.44	1
apg-1	0	6.45	1
aph-1	0	6.89	1
aph-2	0	7.62	1
apm-1	0	2.92	1
apm-3	0	6.51	1
apn-1	0	7.45	1
app-1	0	9.16	1
apr-1	0	8.75	1
aps-1	0	5.7	1
aps-2	0	6.27	1
aps-3	0	5.72	1
apx-1	0	5.24	1
apy-1	0	5.81	1
aqp-10	0	5.39	1
aqp-11	0	3.93	1
aqp-12	0	4.22	1
aqp-2	0	4.07	1
arc-1	0	5.14	1
ard-1	0	6.51	1
arf-1.2	0	8.95	1
arf-3	0	8.74	1
arf-6	0	4.29	1
ari-1	0	8.59	1
ark-1	0	6.97	1
arl-1	0	7.14	1
arl-5	0	6.21	1
arl-8	0	8.03	1
arp-1	0	7.6	1
arp-11	0	5.59	1
arr-1	0	6.64	1
arrd-13	0	5.69	1
arrd-14	0	2.92	1
arrd-18	0	6.57	1
arrd-19	0	6	1
arrd-2	0	5.45	1
arrd-22	0	4.31	1
arrd-25	0	5.03	1
arrd-4	0	2.76	1
art-1	0	7.92	1
arx-1	0	6.9	1
arx-2	0	8.42	1
arx-3	0	7.44	1
arx-4	0	7.04	1
arx-5	0	3.59	1
arx-6	0	4.94	1
arx-7	0	4.76	1
asb-1	0	8.14	1
asb-2	0	6.84	1
asc-1	0	5.26	1
asd-1	0	6.88	1
asd-2	0	6.21	1
asfl-1	0	6.65	1
asg-1	0	6.4	1
asg-2	0	5.19	1
ash-2	0	6.62	1
asna-1	0	6.81	1
asna-2	0	2.84	1
aspm-1	0	7.91	1
atad-3	0	7.29	1
atf-6	0	6.24	1
atf-7	0	8.55	1
atg-11	0	6.79	1
atg-13	0	7.97	1
atg-16.1	0	6.18	1
atg-16.2	0	7.61	1
atg-18	0	8.27	1
atg-2	0	6.14	1
atg-3	0	6.37	1
atg-4.1	0	5.1	1
atg-4.2	0	7.22	1
atg-5	0	6.36	1
atg-7	0	7.44	1
atg-9	0	4.61	1
atgp-1	0	3.2	1
atgp-2	0	4.19	1
ath-1	0	6.71	1
athp-1	0	5.62	1
atl-1	0	7.57	1
atm-1	0	6.62	1
atp-2	0	10	1
atp-3	0	8.27	1
atp-4	0	6.62	1
atp-5	0	8	1
atx-2	0	7.79	1
atx-3	0	7.52	1
ave-1	0	4.84	1
B0001.2	0	7.7	1
B0001.3	0	6.41	1
B0001.4	0	6.86	1
B0001.5	0	7.38	1
B0001.6	0	6.72	1
B0001.7	0	7.9	1
B0001.8	0	7.44	1
B0019.2	0	7.62	1
B0024.10	0	6.99	1
B0024.11	0	7.83	1
B0024.13	0	7.07	1
B0024.3	0	3.44	1
B0025.4	0	6.55	1
B0035.1	0	7.82	1
B0035.11	0	8.15	1
B0035.12	0	7.46	1
B0035.15	0	6.53	1
B0035.16	0	5.06	1
B0035.18	0	3.46	1
B0035.3	0	8.81	1
B0035.6	0	9.05	1
B0041.3	0	2.81	1
B0041.5	0	8.13	1
B0041.8	0	8.63	1
B0205.1	0	8.18	1
B0205.11	0	6.94	1
B0205.6	0	5.44	1
B0205.8	0	5.15	1
B0205.9	0	7.89	1
B0207.6	0	6.89	1
B0212.3	0	6.34	1
