	logFC	logCPM	PValue
2L52.1	-2.99	2.81	0.162
aagr-3	-1.09	8.04	0.0923
aak-1	0.695	7.12	0.427
aak-2	-1	6.57	0.367
aakb-1	-5.52	4.84	0.00814
aakg-1	-2.77	3.14	0.192
aakg-2	-2.01	5.7	0.189
aakg-5	-0.337	8.83	0.48
aap-1	0.361	8.08	0.579
aars-1	4.6	6.05	0.00412
aars-2	0.144	8.39	0.83
aat-3	-2.74	5.77	0.098
abce-1	-1.58	4.9	0.392
abcf-1	0.304	8.08	0.596
abcf-2	0.262	8.4	0.608
abcf-3	0.174	6.65	0.884
abi-1	0.462	8.7	0.383
abl-1	-0.403	6.16	0.77
abtm-1	1.55	5.73	0.298
abts-1	-0.158	8.24	0.78
abts-3	-4.34	3.82	0.0638
abts-4	-5.02	4.4	0.0369
acbp-1	0.605	4.71	0.72
acbp-5	0.907	7.03	0.34
acdh-10	0.944	7.68	0.256
acdh-11	0.712	6.01	0.585
acdh-12	-0.335	7.83	0.619
acdh-13	2.79	5.63	0.144
acdh-3	-0.142	8.43	0.782
acdh-7	-0.716	6.42	0.54
acdh-9	0.0794	4.83	0.972
acin-1	0.546	7.91	0.411
acl-1	1.22	4.87	0.529
acl-11	1.5	5.87	0.304
acl-12	-2.37	5.12	0.185
acl-14	-0.0373	7.74	0.964
acl-2	2.87	6.64	0.0556
acl-3	0.0347	7.52	0.965
acl-4	0.157	8.06	0.811
acl-5	0.0958	5.31	0.966
acl-6	1.02	8.58	0.0824
acl-8	2.35	3.14	0.239
acl-9	-0.355	8.25	0.595
acn-1	-2.38	3.05	0.286
aco-1	-0.499	6.83	0.679
aco-2	0.422	7.34	0.676
acr-10	4.18	3.62	0.077
acr-11	4	3.47	0.0844
acs-11	0.12	7.38	0.89
acs-13	0.819	9.37	0.105
acs-19	0.425	9.59	0.37
acs-2	0.491	4.38	0.838
acs-20	2.14	4.87	0.312
acs-21	3.54	3.95	0.111
acs-3	-3.95	3.5	0.091
acs-4	0.796	9.03	0.117
act-1	-0.149	6.92	0.879
act-2	-0.0854	9.49	0.854
act-3	0.242	8.11	0.694
act-4	-0.514	7.08	0.578
acy-1	-5.31	4.66	0.0277
acy-4	-3.21	2.96	0.158
ada-2	0.312	8.26	0.592
adbp-1	0.101	6.09	0.938
add-2	-0.401	7.7	0.588
adm-2	-3.41	5.28	0.0597
adm-4	-0.739	6.68	0.506
adr-1	1.45	4.12	0.487
adr-2	-0.329	8.03	0.595
afd-1	-1.48	5.41	0.364
aff-1	5.05	4.35	0.0373
age-1	-0.455	8.39	0.433
agef-1	-1.5	6.78	0.147
agl-1	3.99	3.47	0.0896
ags-3	1.11	6.47	0.362
agt-1	-0.0162	4.86	1
agt-2	-0.339	8.37	0.545
AH9.3	-0.33	5.95	0.813
aha-1	-0.469	6.62	0.666
ahcy-1	0.173	9.08	0.722
aho-3	-0.135	8.04	0.835
ain-1	-1.19	6.43	0.433
ain-2	-0.234	7.07	0.802
aip-1	-0.32	6.18	0.811
aipl-1	0.597	8.29	0.306
air-1	0.111	9.18	0.814
air-2	0.626	7.1	0.484
ajm-1	0.339	5.27	0.869
aka-1	0.0819	9.23	0.87
akt-1	-0.0621	9.05	0.899
akt-2	-0.658	3.33	0.778
