	logFC	logCPM	PValue
aagr-3	0	7.34	1
aak-1	0	7.37	1
aak-2	0	5.92	1
aakg-2	0	4.29	1
aakg-5	0	8.61	1
aap-1	0	8.19	1
aars-1	0	6.91	1
aars-2	0	8.43	1
aat-3	0	3.75	1
abce-1	0	3.79	1
abcf-1	0	8.18	1
abcf-2	0	8.48	1
abcf-3	0	6.67	1
abi-1	0	8.87	1
abl-1	0	5.89	1
abtm-1	0	6.23	1
abts-1	0	8.11	1
acbp-1	0	4.83	1
acbp-5	0	7.35	1
acdh-10	0	8.01	1
acdh-11	0	6.24	1
acdh-12	0	7.61	1
acdh-13	0	6.36	1
acdh-3	0	8.31	1
acdh-7	0	5.95	1
acdh-9	0	4.72	1
acin-1	0	8.1	1
acl-1	0	5.24	1
acl-11	0	6.34	1
acl-12	0	3.38	1
acl-14	0	7.68	1
acl-2	0	7.37	1
acl-3	0	7.48	1
acl-4	0	8.1	1
acl-5	0	5.27	1
acl-6	0	8.95	1
acl-8	0	3.47	1
acl-9	0	8.03	1
aco-1	0	6.5	1
aco-2	0	7.5	1
acr-10	0	4.29	1
acr-11	0	4.05	1
acs-11	0	7.4	1
acs-13	0	9.68	1
acs-19	0	9.75	1
acs-2	0	4.4	1
acs-20	0	5.47	1
acs-21	0	4.63	1
acs-4	0	9.34	1
act-1	0	6.77	1
act-2	0	9.41	1
act-3	0	8.17	1
act-4	0	6.75	1
ada-2	0	8.35	1
adbp-1	0	6.05	1
add-2	0	7.43	1
adm-2	0	2.63	1
adm-4	0	6.21	1
adr-1	0	4.48	1
adr-2	0	7.81	1
afd-1	0	4.37	1
aff-1	0	5.16	1
age-1	0	8.09	1
agef-1	0	5.78	1
agl-1	0	4.1	1
ags-3	0	6.84	1
agt-1	0	4.7	1
agt-2	0	8.15	1
AH9.3	0	5.68	1
aha-1	0	6.3	1
ahcy-1	0	9.12	1
aho-3	0	7.92	1
ain-1	0	5.67	1
ain-2	0	6.89	1
aip-1	0	5.92	1
aipl-1	0	8.52	1
air-1	0	9.19	1
air-2	0	7.31	1
ajm-1	0	5.34	1
aka-1	0	9.23	1
akt-1	0	8.98	1
akt-2	0	2.63	1
aldo-1	0	6.27	1
aldo-2	0	9.4	1
alg-1	0	4.72	1
alg-2	0	7.37	1
alh-1	0	8.86	1
alh-11	0	5.07	1
alh-13	0	4.21	1
